"[8.6707058458823756, 3.8170083383399613]","[-18.0755792524234, 20.6058781733721]","[-42.9392064181112, -4.37023096206319]","[-24.0, -4.9263157894736835]","[-33.2793813545469, -27.3029960212386]","[-14.3382656627108, -27.7897263691588]","[-4.39848890446109, -57.0974122243151]"
"[8.646551880664763, 3.871412286975938]","[-18.1264585391583, 20.6176306647934]","[-42.9402767132670, -4.40796445304099]","[-24.0, -4.9263157894736835]","[-33.2482675750386, -27.3271462094323]","[-14.3062202059079, -27.7761579561772]","[-4.30810246219184, -57.0639925256900]"
"[8.6220565643841685, 3.9256633988837444]","[-18.1775287751068, 20.6293199605127]","[-42.9412749825123, -4.44582424953530]","[-24.0, -4.9263157894736835]","[-33.2173427845905, -27.3514802350823]","[-14.2744361628773, -27.7626478458627]","[-4.21782587218579, -57.0304492947163]"
"[8.5972208640737389, 3.9797595323223747]","[-18.2287892878071, 20.6409448511613]","[-42.9422004647313, -4.48380970246150]","[-24.0, -4.9263157894736835]","[-33.1866063924001, -27.3759987156139]","[-14.2429136980872, -27.7491973042307]","[-4.12766071917032, -56.9967830056330]"
"[8.5720457602043947, 4.0336985516691097]","[-18.2802393959185, 20.6525041282373]","[-42.9430524006876, -4.52192015656612]","[-24.0, -4.9263157894736835]","[-33.1560578103188, -27.4007022571522]","[-14.2116529767639, -27.7358075920614]","[-4.03760859685570, -56.9629941337733]"
"[8.546532246646132, 4.0874783275038213]","[-18.3318784091732, 20.6639965842019]","[-42.9438300331016, -4.56015495040706]","[-24.0, -4.9263157894736835]","[-33.1256964530403, -27.4255914544862]","[-14.1806541650037, -27.7224799648860]","[-3.94767110804213, -56.9290831556766]"
"[8.5206813306287774, 4.1410967366930471]","[-18.3837056283308, 20.6754210125764]","[-42.9445326067248, -4.59851341633441]","[-24.0, -4.9263157894736835]","[-33.0955217382845, -27.4506668910367]","[-14.1499174298845, -27.7092156729723]","[-3.85784986471452, -56.8950505491986]"
"[8.4944940327022334, 4.1945516624738026]","[-18.4357203451322, 20.6867762080404]","[-42.9451593684170, -4.63699488047228]","[-24.0, -4.9263157894736835]","[-33.0655330869853, -27.4759291388226]","[-14.1194429395783, -27.6960159613109]","[-3.76814648814360, -56.8608967936216]"
"[8.467971386696183, 4.2478409945371469]","[-18.4879218422543, 20.6980609665295]","[-42.9457095672197, -4.67559866270067]","[-24.0, -4.9263157894736835]","[-33.0357299234795, -27.5013787584314]","[-14.0892308634647, -27.6828820696028]","[-3.67856260898380, -56.8266223697687]"
"[8.441114439679275, 4.3009626291114955]","[-18.5403093932663, 20.7092740853358]","[-42.9461824544364, -4.71432407663869]","[-24.0, -4.9263157894736835]","[-33.0061116756941, -27.5270162989873]","[-14.0592813722435, -27.6698152322461]","[-3.58909986737066, -56.7922277601152]"
"[8.4139242519177895, 4.3539144690456739]","[-18.5928822625871, 20.7204143632075]","[-42.9465772837065, -4.75317042962840]","[-24.0, -4.9263157894736835]","[-32.9766777753390, -27.5528422981238]","[-14.0295946380494, -27.6568166783234]","[-3.49975991301867, -56.7577134489026]"
"[8.3864018968337852, 4.4066944238917101]","[-18.6456397054421, 20.7314806004495]","[-42.9468933110855, -4.79213702271882]","[-24.0, -4.9263157894736835]","[-32.9474276580942, -27.5788572819542]","[-14.0001708345660, -27.6438876315907]","[-3.41054440531521, -56.7230799222523]"
"[8.3585484609627141, 4.4593004099873603]","[-18.6985809678219, 20.7424715990251]","[-42.9471297951206, -4.83122315065111]","[-24.0, -4.9263157894736835]","[-32.9183607638032, -27.6050617650457]","[-13.9710101371406, -27.6310293104647]","[-3.32145501341568, -56.6883276682802]"
"[8.3303650439105326, 4.5117303505383699]","[-18.7517052864415, 20.7533861626582]","[-42.9472859969303, -4.87042810184430]","[-24.0, -4.9263157894736835]","[-32.8894765366659, -27.6314562503929]","[-13.9421127228998, -27.6182429280127]","[-3.23249341634084, -56.6534571772127]"
"[8.3018527583102859, 4.5639821757004606]","[-18.8050118887013, 20.7642230969365]","[-42.9473611802831, -4.90975115838207]","[-24.0, -4.9263157894736835]","[-32.8607744254317, -27.6580412293930]","[-13.9134787708654, -27.6055296919402]","[-3.14366130306818, -56.6184689415009]"
"[8.2730127297781895, 4.6160538226610424]","[-18.8584999926470, 20.7749812094149]","[-42.9473546116752, -4.94919159599932]","[-24.0, -4.9263157894736835]","[-32.8322538835916, -27.6848171818223]","[-13.8851084620705, -27.5928908045820]","[-3.05496037262289, -56.5833634559375]"
"[8.2438460968691896, 4.6679432357206565]","[-18.9121688069318, 20.7856593097196]","[-42.9472655604120, -4.98874868407044]","[-24.0, -4.9263157894736835]","[-32.8039143695767, -27.7117845758123]","[-13.8570019796762, -27.5803274628908]","[-2.96639233417506, -56.5481412177755]"
"[8.214354011032011, 4.7196483663741224]","[-18.9660175307795, 20.7962562096533]","[-42.9470932986852, -5.02842168559781]","[-24.0, -4.9263157894736835]","[-32.7757553469512, -27.7389438678291]","[-13.8291595090895, -27.5678408584275]","[-2.87795890712612, -56.5128027268414]"
"[8.1845376365637019, 4.7711671733914178]","[-19.0200453539479, 20.8067707233012]","[-42.9468371016549, -5.06820985720087]","[-24.0, -4.9263157894736835]","[-32.7477762846100, -27.7662955026518]","[-13.8015812380804, -27.5554321773519]","[-2.78966182120096, -56.4773484856556]"
"[8.1543981505636758, 4.8224976228982541]","[-19.0742514566925, 20.8172016671366]","[-42.9464962475296, -5.10811244910624]","[-24.0, -4.9263157894736835]","[-32.7199766569774, -27.7938399133526]","[-13.7742673569010, -27.5431026004128]","[-2.70150281653937, -56.4417789995504]"
"[8.1239367428872313, 4.8736376884563759]","[-19.1286350097332, 20.8275478601284]","[-42.9460700176461, -5.14812870513837]","[-24.0, -4.9263157894736835]","[-32.6923559442029, -27.8215775212776]","[-13.7472180584032, -27.5308533029394]","[-2.61348364378235, -56.4060947767878]"
"[8.0931546160985857, 4.9245853511435627]","[-19.1831951742191, 20.8378081238486]","[-42.9455576965516, -5.18825786271079]","[-24.0, -4.9263157894736835]","[-32.6649136323641, -27.8495087360296]","[-13.7204335381594, -27.5186854548323]","[-2.52560606416389, -56.3702963286784]"
"[8.0620529854233975, 4.9753385996333268]","[-19.2379311016964, 20.8479812825805]","[-42.9449585720852, -5.22849915281827]","[-24.0, -4.9263157894736835]","[-32.6376492136624, -27.8776339554498]","[-13.6939139945808, -27.5066002205546]","[-2.43787184959388, -56.3343841697007]"
